Word,Frequency,Abc Hash,Qwerty Hash,As name
a,130466,1,4,0,0.0
aaaaaaaaaargh,2,1111111111633,4444444444255,0,0.0
aaaaaaaaargh,2,111111111633,444444444255,0,0.0
aaaaaaaargh,2,11111111633,44444444255,0,0.0
aaaaaah,2,1111113,4444445,0,0.0
aaaaargh,4,11111633,44444255,0,0.0
aaaaarrrgh,2,1111166633,4444422255,0,0.0
aaaah,7,11113,44445,0,0.0
aaaargh,2,1111633,4444255,0,0.0
aaah,15,1113,4445,0,0.0
aaargh,6,111633,444255,0,0.0
aah,5,113,445,0,0.0
aargh,9,11633,44255,0,0.0
aaron,6,11655,44238,4,0.6666666666666666
ab,6,11,48,0,0.0
aback,146,11114,48476,0,0.0
abandon,72,1115255,4848438,0,0.0
abandoned,226,111525522,484843814,0,0.0
abandoning,57,1115255353,4848438385,0,0.0
abandonment,11,11152555257,48484388182,0,0.0
abandons,4,11152556,48484384,0,0.0
abashed,14,1116322,4844514,0,0.0
abasilisk,2,111634364,484436346,0,0.0
abate,3,11172,48421,0,0.0
abated,7,111722,484214,0,0.0
abath,2,11173,48425,0,0.0
abb,3,111,488,3,1.0
abbas,4,11116,48844,4,1.0
abbey,28,11128,48812,18,0.6428571428571429
abbot,95,11157,48832,39,0.4105263157894737
abbots,2,111576,488324,2,1.0
abbott,32,111577,488322,30,0.9375
abbreviated,5,11162731722,48821834214,0,0.0
abbreviations,2,1116273173556,4882183423384,0,0.0
abdicate,2,11231172,48437421,0,0.0
abdicating,2,1123117353,4843742385,0,0.0
abdication,2,1123117355,4843742338,0,0.0
abdomen,30,1125525,4843818,0,0.0
abdomens,2,11255256,48438184,0,0.0
abdominal,13,112553514,484383846,0,0.0
abduction,6,112717355,484272338,0,0.0
abductor,2,11271756,48427232,0,0.0
abe,8,112,481,5,0.625
abed,4,1122,4814,0,0.0
abercrombie,9,11261655132,48127238831,6,0.6666666666666666
aberdeen,5,11262225,48124118,5,1.0
aberforth,78,112625673,481253225,70,0.8974358974358975
abergavenny,2,11263172558,48125481882,2,1.0
aberration,5,1126617355,4812242338,0,0.0
abetan,3,112715,481248,0,0.0
abetted,4,1127722,4812214,0,0.0
abeyance,2,11281512,48124871,0,0.0
abhorrence,2,1135662512,4853221871,0,0.0
abhorrent,4,113566257,485322182,0,0.0
abide,19,11322,48341,0,0.0
abiding,8,1132353,4834385,0,0.0
abig,3,1133,4835,0,0.0
abilities,39,113437326,483632314,0,0.0
ability,133,1134378,4836322,0,0.0
abit,6,1137,4832,0,0.0
abject,15,114217,486172,0,0.0
abjure,2,114762,486221,0,0.0
ablaze,12,114182,486471,0,0.0
able,1631,1142,4861,0,0.0
abnormal,24,11556514,48832846,0,0.0
abnormalities,2,1155651437326,4883284632314,0,0.0
abnormality,7,11556514378,48832846322,0,0.0
abnormally,13,1155651448,4883284662,0,0.0
aboard,354,115162,483424,0,0.0
abode,14,11522,48341,0,0.0
abominable,8,1155351142,4838384861,1,0.125
abominably,3,1155351148,4838384862,0,0.0
abomination,6,11553517355,48383842338,0,0.0
abort,8,11567,48322,1,0.125
aborted,19,1156722,4832214,0,0.0
aborting,3,11567353,48322385,0,0.0
abortion,8,11567355,48322338,0,0.0
abortive,9,11567372,48322381,0,0.0
abou,83,1157,4832,0,0.0
abound,4,115752,483284,0,0.0
abounded,4,11575222,48328414,0,0.0
about,14291,11577,48322,22,0.0015394304107480233
aboutbombyx,8,11577155188,48322838827,0,0.0
abouther,3,11577326,48322512,0,0.0
abouthim,3,11577335,48322538,0,0.0
abouthis,4,11577336,48322534,0,0.0
aboutthat,6,115777317,483222542,0,0.0
aboutthe,3,11577732,48322251,0,0.0
aboutyou,9,11577857,48322232,0,0.0
aboutyour,3,115778576,483222322,0,0.0
above,1048,11572,48381,0,0.0
aboveboard,5,1157215162,4838183424,0,0.0
aboveground,4,11572365752,48381523284,0,0.0
aboy,2,1158,4832,0,0.0
abraham,2,1161315,4824548,2,1.0
abrasion,6,11616355,48244338,0,0.0
abrasions,3,116163556,482443384,2,0.6666666666666666
abrasive,2,11616372,48244381,0,0.0
abraxan,3,1161815,4824748,3,1.0
abraxas,2,1161816,4824744,2,1.0
abreast,8,1162167,4821442,0,0.0
abridged,2,11632322,48234514,0,0.0
abroad,31,116512,482344,1,0.03225806451612903
abromov,4,1165557,4823838,3,0.75
abrupt,79,116767,482232,0,0.0
abruptly,368,11676748,48223262,1,0.002717391304347826
abruptness,4,1167675266,4822328144,0,0.0
abs,2,116,484,0,0.0
absconded,8,116155222,484738414,0,0.0
absconding,2,1161552353,4847384385,0,0.0
absence,170,1162512,4841871,0,0.0
absences,10,11625126,48418714,0,0.0
absent,207,116257,484182,0,0.0
absentees,2,116257226,484182114,0,0.0
absentia,5,11625731,48418234,0,0.0
absenting,2,116257353,484182385,0,0.0
absently,94,11625748,48418262,3,0.031914893617021274
absentminded,5,116257535222,484182838414,0,0.0
absentmindedly,20,11625753522248,48418283841462,0,0.0
absolute,155,11654772,48436221,0,0.0
absolutely,446,1165477248,4843622162,46,0.1031390134529148
absolutelywonderful,2,1165477248855226274,4843622162138412526,0,0.0
absolution,8,1165477355,4843622338,0,0.0
absolved,5,11654722,48436814,0,0.0
absorb,34,116561,484328,0,0.0
absorbed,114,11656122,48432814,0,0.0
absorbent,3,116561257,484328182,0,0.0
absorbing,25,116561353,484328385,0,0.0
absorbs,4,1165616,4843284,0,0.0
absorption,18,1165667355,4843232338,0,0.0
abstain,2,1167135,4842438,0,0.0
abstained,7,116713522,484243814,0,0.0
abstaining,2,1167135353,4842438385,0,0.0
abstention,5,1167257355,4842182338,0,0.0
abstinence,2,1167352512,4842381871,0,0.0
abstract,28,11676117,48422472,0,0.0
abstracted,47,1167611722,4842247214,0,0.0
abstractedly,4,116761172248,484224721462,0,0.0
abstraction,8,11676117355,48422472338,0,0.0
abstruse,6,11676762,48422241,0,0.0
absurd,125,116762,484224,0,0.0
absurdities,4,11676237326,48422432314,0,0.0
absurdity,14,116762378,484224322,0,0.0
absurdly,31,11676248,48422462,0,0.0
abundance,51,117521512,482844871,34,0.6666666666666666
abundant,23,11752157,48284482,0,0.0
abundantly,8,1175215748,4828448262,0,0.0
abuse,62,11762,48241,1,0.016129032258064516
abused,20,117622,482414,0,0.0
abuses,2,117626,482414,0,0.0
abusing,12,1176353,4824385,0,0.0
abusive,4,1176372,4824381,0,0.0
abut,2,1177,4822,0,0.0
abutted,4,1177722,4822214,0,0.0
abysmal,14,1186514,4824846,0,0.0
abyss,10,11866,48244,0,0.0
acacia,4,111131,474734,3,0.75
academic,46,11122531,47441837,0,0.0
academics,3,111225316,474418374,0,0.0
academies,2,111225326,474418314,0,0.0
academy,62,1112258,4744182,47,0.7580645161290323
acanthia,2,11157331,47482534,2,1.0
acanthus,2,11157376,47482524,0,0.0
acceded,4,1112222,4771414,0,0.0
acceding,2,11122353,47714385,0,0.0
accelerate,4,1112426172,4771612421,0,0.0
accelerated,19,11124261722,47716124214,0,0.0
accelerating,9,111242617353,477161242385,0,0.0
acceleration,51,111242617355,477161242338,1,0.0196078431372549
accelerations,7,1112426173556,4771612423384,0,0.0
accelerator,5,11124261756,47716124232,0,0.0
accelerators,4,111242617566,477161242324,0,0.0
accent,133,111257,477182,1,0.007518796992481203
accented,13,11125722,47718214,0,0.0
accents,15,1112576,4771824,0,0.0
accentuated,3,11125771722,47718224214,0,0.0
accept,259,111267,477132,0,0.0
acceptable,33,1112671142,4771324861,2,0.06060606060606061
acceptance,43,1112671512,4771324871,0,0.0
accepted,195,11126722,47713214,3,0.015384615384615385
accepting,43,111267353,477132385,0,0.0
accepts,13,1112676,4771324,0,0.0
access,194,111266,477144,2,0.010309278350515464
accessed,3,11126622,47714414,0,0.0
accesses,2,11126626,47714414,0,0.0
accessible,13,1112663142,4771443861,0,0.0
accessing,4,111266353,477144385,0,0.0
accessories,7,11126656326,47714432314,0,0.0
accessory,7,111266568,477144322,0,0.0
