а,3,1,4
ай,1,13,41
андрей,6,142523,426521
андрею,2,142528,426528
армии,1,15433,45788
артиллерия,1,1553332538,4588662587
аршин,1,15734,45382
атаку,1,15135,48411
б,1,1,8
багратион,7,111515344,842548852
багратионова,1,111515344411,842548852544
багратионом,1,11151534444,84254885257
багратиону,1,1115153445,8425488521
батарее,1,1151522,8484522
батареи,1,1151523,8484528
белую,1,12358,82618
беспокойно,1,1254434344,8275515125
бесчисленное,1,125635324442,827787622252
благодарю,1,131142158,864256458
богданычем,1,1412147624,8526424727
более,1,14322,85622
болело,1,143234,856265
боли,1,1433,8568
болит,1,14335,85688
болконского,2,14334453414,85615271525
болконскому,1,14334453445,85615271571
боль,1,1438,8568
больше,1,143872,856832
большую,1,1438758,8568318
боялся,1,148358,857677
брошены,1,1547247,8553224
бы,3,17,84
был,5,173,846
была,3,1731,8464
были,2,1733,8468
было,9,1734,8465
быстрыми,1,17555743,84785478
быть,1,1758,8488
в,16,1,4
вас,2,115,447
ваше,6,1172,4432
вверх,1,11256,44253
верить,1,125358,425888
веселый,1,1252373,4272641
взволнован,1,1214344114,4345625442
взволнованно,1,121434411444,434562544225
вздохнул,1,12246453,43653216
вздохом,1,1224644,4365357
взять,1,12858,43788
видал,1,13213,48646
виде,2,1322,4862
видел,4,13223,48626
видеть,1,132258,486288
видимо,2,132344,486875
вина,1,1341,4824
висел,1,13523,48726
вместе,2,142552,472782
вмешался,1,14271358,47234677
вмешаться,1,142715858,472348877
во,2,14,45
вовсе,1,14152,45472
возвращался,1,14215171358,45345434677
возобновляли,1,142414413833,453582546768
волос,1,14345,45657
вот,2,145,458
впечатление,1,14261532432,45274862282
вполне,1,144342,455622
время,1,15248,45277
все,8,152,472
всегда,2,152121,472264
всего,1,15214,47225
всем,1,1524,4727
всех,2,1526,4723
всею,1,1528,4728
вспоминал,1,154443413,475578246
встал,1,15513,47846
встряхивая,1,1555863118,4785738447
всю,1,158,478
вся,2,158,477
вы,3,17,44
выворачивали,1,171451631133,444554784468
выказать,1,17312158,44143488
выражение,1,175122432,445462282
выручил,1,1755633,4451786
высказать,1,175312158,447143488
вышел,1,17723,44326
генералов,2,124251341,222254654
геройски,1,12543533,22551718
геройской,1,125435343,225517151
глаза,4,13121,26434
