Word,Frequency,Abc Hash,Qwerty Hash,As name
а,7703,1,4,0,0.0
аа,9,11,44,0,0.0
ааа,12,111,444,1,0.08333333333333333
аааа,2,1111,4444,0,0.0
ааау,2,1115,4441,0,0.0
ааах,2,1116,4443,0,0.0
аарону,2,115445,445521,2,1.0
абажуром,2,11125544,48461557,0,0.0
абакар,7,111315,484145,7,1.0
абасович,2,11154136,48475487,2,1.0
аббат,10,11115,48848,0,0.0
аббата,7,111151,488484,0,0.0
аббатом,3,1111544,4884857,0,0.0
абдель,2,112238,486268,2,1.0
абзац,9,11216,48341,2,0.2222222222222222
абзаца,13,112161,483414,0,0.0
абордаж,3,1145212,4855646,0,0.0
аборигенами,3,11453124143,48558222478,0,0.0
аборигенов,8,1145312441,4855822254,0,0.0
аборигены,3,114531247,485582224,0,0.0
абразивных,2,1151231476,4854384243,0,0.0
абрамович,2,115144136,485475487,2,1.0
абрамовна,2,115144141,485475424,2,1.0
абрамовых,2,115144176,485475443,2,1.0
абс,4,115,487,0,0.0
абсолют,2,1154385,4875688,0,0.0
абсолютная,10,1154385418,4875688247,0,0.0
абсолютно,41,115438544,487568825,0,0.0
абсолютное,3,1154385442,4875688252,0,0.0
абсолютной,10,1154385443,4875688251,0,0.0
абсолютную,6,1154385458,4875688218,1,0.16666666666666666
абсолютный,2,1154385473,4875688241,0,0.0
абсолютным,2,1154385474,4875688247,0,0.0
абсорбции,3,115451633,487558188,0,0.0
абстрагировались,2,1155511354113358,4878542855446878,0,0.0
абстрактер,4,1155513525,4878541825,0,0.0
абстрактная,3,11555135418,48785418247,0,0.0
абстрактного,4,115551354414,487854182525,0,0.0
абстрактной,5,11555135443,48785418251,0,0.0
абстрактному,2,115551354445,487854182571,0,0.0
абстрактные,2,11555135472,48785418242,0,0.0
абстрактных,2,11555135476,48785418243,0,0.0
абстракцией,2,11555136323,48785411821,0,0.0
абстракции,4,1155513633,4878541188,0,0.0
абсурда,3,1155521,4871564,0,0.0
абсурдистской,2,1155523555343,4871568787151,0,0.0
абсурдно,3,11555244,48715625,0,0.0
абсурдное,2,115552442,487156252,1,0.5
абсурдность,3,11555244558,48715625788,0,0.0
абсурдным,3,115552474,487156247,0,0.0
абсурду,2,1155525,4871561,0,0.0
абук,13,1153,4811,12,0.9230769230769231
абуком,2,115344,481157,2,1.0
абусаид,2,1155132,4817486,2,1.0
абы,4,117,484,0,0.0
абэ,4,118,486,2,0.5
ав,10,11,44,3,0.3
аваз,4,1112,4443,4,1.0
авангард,9,11141152,44422456,0,0.0
авангарду,2,111411525,444224561,0,0.0
аванпостах,5,1114445516,4442557843,0,0.0
аванпосты,6,111444557,444255784,0,0.0
аванс,2,11145,44427,0,0.0
авантюрист,8,1114585355,4442885878,0,0.0
авантюриста,2,11145853551,44428858784,0,0.0
авантюристов,4,111458535541,444288587854,0,0.0
авантюрно,8,111458544,444288525,0,0.0
авантюрного,8,11145854414,44428852525,0,0.0
авантюрной,5,1114585443,4442885251,0,0.0
авантюрный,12,1114585473,4442885241,2,0.16666666666666666
авантюрных,2,1114585476,4442885243,0,0.0
авантюру,2,11145855,44428851,0,0.0
авар,13,1115,4445,0,0.0
аварией,2,1115323,4445821,0,0.0
аварии,15,111533,444588,0,0.0
аварий,2,111533,444581,0,0.0
аварийной,2,111533443,444581251,0,0.0
аварская,3,11155318,44457147,1,0.3333333333333333
аварски,3,1115533,4445718,0,0.0
аварский,5,11155333,44457181,0,0.0
аварским,2,11155334,44457187,1,0.5
аварских,2,11155336,44457183,0,0.0
аварской,3,11155343,44457151,0,0.0
аварском,2,11155344,44457157,0,0.0
аварцев,2,1115621,4445124,0,0.0
авары,2,11157,44454,0,0.0
авг,5,111,442,0,0.0
август,3,111555,442178,2,0.6666666666666666
августа,61,1115551,4421784,1,0.01639344262295082
августе,15,1115552,4421782,0,0.0
августейший,2,11155523733,44217821381,0,0.0
августину,2,111555345,442178821,0,0.0
августовский,2,111555415333,442178547181,0,0.0
авдеичев,5,11223621,44628724,5,1.0
авдеичева,3,112236211,446287244,3,1.0
авдеичевым,2,1122362174,4462872447,2,1.0
авдотье,5,1124582,4465882,5,1.0
авдотьи,5,1124583,4465888,5,1.0
авдотью,3,1124588,4465888,3,1.0
авдотья,13,1124588,4465887,11,0.8461538461538461
авиаклуб,2,11313351,44841618,0,0.0
авиаконструктор,2,113134455553545,448415278511855,0,0.0
авиацией,2,11316323,44841821,0,0.0
авиации,8,1131633,4484188,0,0.0
авиационную,2,11316344458,44841852218,0,0.0
авиация,6,1131638,4484187,0,0.0
авится,2,113558,448877,0,0.0
авно,2,1144,4425,0,0.0
авось,4,11458,44578,1,0.25
авоськой,3,11458343,44578151,0,0.0
авраам,3,115114,445447,3,1.0
австралии,3,115551333,447854688,3,1.0
австрией,2,11555323,44785821,2,1.0
австрии,24,1155533,4478588,22,0.9166666666666666
австрийские,13,11555335332,44785817182,0,0.0
австрийский,18,11555335333,44785817181,0,0.0
австрийским,4,11555335334,44785817187,0,0.0
австрийскими,2,115553353343,447858171878,0,0.0
австрийских,5,11555335336,44785817183,0,0.0
австрийского,12,115553353414,447858171525,0,0.0
австрийское,2,11555335342,44785817152,0,0.0
австрийской,5,11555335343,44785817151,0,0.0
австрийском,2,11555335344,44785817157,0,0.0
австрийскому,10,115553353445,447858171571,0,0.0
австрийскую,3,11555335358,44785817118,0,0.0
австрийцами,5,11555336143,44785811478,0,0.0
австрийцах,3,1155533616,4478581143,0,0.0
австрийцев,8,1155533621,4478581124,0,0.0
австрийцы,3,115553367,447858114,1,0.3333333333333333
австрию,5,1155538,4478588,5,1.0
австрия,7,1155538,4478587,3,0.42857142857142855
австрияк,2,11555383,44785871,0,0.0
австрияки,2,115553833,447858718,0,0.0
австро,2,115554,447855,0,0.0
авт,2,115,448,1,0.5
автобиографии,3,1154134151633,4485885254488,0,0.0
автобиографической,2,115413415163625343,448588525448727151,0,0.0
автобиографическую,3,115413415163625358,448588525448727118,0,0.0
автобус,6,1154155,4485817,0,0.0
автобусе,4,11541552,44858172,0,0.0
автобусной,4,1154155443,4485817251,0,0.0
автобусы,2,11541557,44858174,0,0.0
автократова,4,11543515411,44851548544,2,0.5
автомасштабирование,4,1154415751135411432,4485747384885544282,4,1.0
автомат,22,1154415,4485748,1,0.045454545454545456
автомата,10,11544151,44857484,0,0.0
автоматами,2,1154415143,4485748478,0,0.0
автоматах,2,115441516,448574843,0,0.0
автоматизация,3,1154415321638,4485748834187,1,0.3333333333333333
автоматизированная,2,115441532354114418,448574883855442247,0,0.0
автоматическая,2,11544153625318,44857488727147,0,0.0
автоматически,12,1154415362533,4485748872718,0,0.0
автоматические,2,11544153625332,44857488727182,0,0.0
автоматический,4,11544153625333,44857488727181,1,0.25
автоматических,4,11544153625336,44857488727183,0,0.0
автоматического,2,115441536253414,448574887271525,1,0.5
автоматической,2,11544153625343,44857488727151,0,0.0
автоматная,3,1154415418,4485748247,0,0.0
автоматную,2,1154415458,4485748218,0,0.0
автоматные,2,1154415472,4485748242,0,0.0
автоматов,5,115441541,448574854,0,0.0
автоматом,6,115441544,448574857,0,0.0
автомату,2,11544155,44857481,0,0.0
автоматчик,2,1154415633,4485748781,0,0.0
автоматы,6,11544157,44857484,0,0.0
автомашина,2,1154417341,4485743824,0,0.0
автомобилей,2,11544413323,44857588621,0,0.0
автомобили,8,1154441333,4485758868,0,0.0
автомобиль,12,1154441338,4485758868,0,0.0
автомобильного,2,11544413384414,44857588682525,0,0.0
автомобилю,2,1154441338,4485758868,0,0.0
автомобилями,2,115444133843,448575886778,0,0.0
автономно,3,115444444,448525725,0,0.0
автономные,2,1154444472,4485257242,0,0.0
автономных,3,1154444476,4485257243,0,0.0
автопилот,3,115443345,448558658,0,0.0
автор,241,11545,44855,7,0.029045643153526972
автора,143,115451,448554,0,0.0
авторам,19,1154514,4485547,0,0.0
авторами,11,11545143,44855478,0,0.0
авторах,2,1154516,4485543,0,0.0
авторе,7,115452,448552,1,0.14285714285714285
авторитет,3,115453525,448558828,0,0.0
авторитета,3,1154535251,4485588284,0,0.0
авторитетно,3,11545352544,44855882825,0,0.0
авторитетный,4,115453525473,448558828241,0,0.0
авторитетных,3,115453525476,448558828243,0,0.0
авторитетом,3,11545352544,44855882857,0,0.0
авторов,84,1154541,4485554,0,0.0
автором,29,1154544,4485557,1,0.034482758620689655
авторский,4,115455333,448557181,2,0.5
авторским,2,115455334,448557187,0,0.0
авторских,4,115455336,448557183,0,0.0
авторское,4,115455342,448557152,0,0.0
авторской,9,115455343,448557151,0,0.0
автору,53,115455,448551,0,0.0
авторучки,2,115455633,448551718,0,0.0
авторы,84,115457,448554,5,0.05952380952380952
автострады,2,1154555127,4485785464,0,0.0
автохтоны,2,115465447,448538524,0,0.0
ага,10,111,424,3,0.3
агаев,4,11121,42424,3,0.75
агафья,3,111688,424487,3,1.0
агент,10,11245,42228,2,0.2
агента,4,112451,422284,0,0.0
агентами,6,11245143,42228478,0,0.0
агентов,7,1124541,4222854,0,0.0
агентств,2,11245551,42228784,0,0.0
агентство,3,112455514,422287845,0,0.0
агентурной,2,1124555443,4222815251,0,0.0
агенты,12,112457,422284,0,0.0
агонии,4,114433,425288,0,0.0
аграфена,24,11516241,42544224,17,0.7083333333333334
аграфене,4,11516242,42544222,4,1.0
аграфеной,4,115162443,425442251,4,1.0
аграфены,8,11516247,42544224,7,0.875
агрегат,2,1152115,4252248,0,0.0
агрегата,2,11521151,42522484,1,0.5
агрессивная,3,11525531418,42527784247,0,0.0
агрессивно,2,1152553144,4252778425,0,0.0
агрессивной,3,11525531443,42527784251,0,0.0
агрессивность,4,1152553144558,4252778425788,0,0.0
агрессивны,3,1152553147,4252778424,0,0.0
агрессивные,2,11525531472,42527784242,0,0.0
агрессивными,2,115255314743,425277842478,0,0.0
агрессии,6,11525533,42527788,1,0.16666666666666666
агрессор,2,11525545,42527755,0,0.0
агрессора,5,115255451,425277554,0,0.0
агрест,2,115255,425278,0,0.0
агреста,2,1152551,4252784,2,1.0
агроном,2,1154444,4255257,0,0.0
агронома,2,11544441,42552574,0,0.0
агрономов,2,115444441,425525754,0,0.0
ад,16,12,46,1,0.0625
ада,4,121,464,0,0.0
адам,4,1214,4647,3,0.75
адама,6,12141,46474,3,0.5
адамов,8,121441,464754,1,0.125
адамова,13,1214411,4647544,7,0.5384615384615384
адамс,3,12145,46477,3,1.0
адаптации,4,121451633,464584188,0,0.0
адаптация,4,121451638,464584187,0,0.0
адаптивно,2,121453144,464588425,0,0.0
адаптировалась,6,12145354113158,46458855446478,0,0.0
адаптированных,2,12145354114476,46458855442243,0,0.0
адаптированы,3,121453541147,464588554424,0,0.0
адаптировать,2,121453541158,464588554488,0,0.0
адаптироваться,2,12145354115858,46458855448877,0,0.0
адатам,3,121514,464847,0,0.0
адаты,7,12157,46484,1,0.14285714285714285
адвокат,49,1214315,4645148,1,0.02040816326530612
адвоката,25,12143151,46451484,0,0.0
адвокатов,6,121431541,464514854,0,0.0
адвокатом,8,121431544,464514857,0,0.0
адвокату,13,12143155,46451481,0,0.0
адвокаты,9,12143157,46451484,1,0.1111111111111111
адгезией,19,12122323,46223821,0,0.0
адгезии,30,1212233,4622388,0,0.0
адгезию,18,1212238,4622388,0,0.0
адгезия,24,1212238,4622387,0,0.0
адекватная,2,1223115418,4621448247,0,0.0
адекватно,4,122311544,462144825,0,0.0
адекватной,3,1223115443,4621448251,0,0.0
адекватный,2,1223115473,4621448241,0,0.0
адекватным,2,1223115474,4621448247,0,0.0
адекватных,4,1223115476,4621448243,0,0.0
аделаида,6,12231321,46264864,4,0.6666666666666666
аделаиде,3,12231322,46264862,3,1.0
аделаиду,2,12231325,46264861,2,1.0
аделаиды,3,12231327,46264864,3,1.0
адель,2,12238,46268,2,1.0
адептов,3,1224541,4625854,0,0.0
адиген,2,123124,468222,0,0.0
административное,3,1243435551531442,4678287854884252,0,0.0
административном,4,1243435551531444,4678287854884257,0,0.0
административные,2,1243435551531472,4678287854884242,0,0.0
администратор,2,1243435551545,4678287854855,0,0.0
администратором,2,124343555154544,467828785485557,0,0.0
администратору,3,12434355515455,46782878548551,0,0.0
администрации,14,1243435551633,4678287854188,1,0.07142857142857142
администрация,5,1243435551638,4678287854187,0,0.0
адмирал,4,1243513,4678546,0,0.0
адмирала,5,12435131,46785464,0,0.0
адрес,16,12525,46527,1,0.0625
адреса,2,125251,465274,0,0.0
адресована,2,1252541141,4652754424,0,0.0
адресованные,2,125254114472,465275442242,0,0.0
адресованный,2,125254114473,465275442241,0,0.0
адресовать,2,1252541158,4652754488,0,0.0
адресом,2,1252544,4652757,0,0.0
адресу,12,125255,465271,0,0.0
адские,2,125332,467182,0,0.0
адской,2,125343,467151,0,0.0
адъютант,140,12785145,46388428,8,0.05714285714285714
адъютанта,62,127851451,463884284,0,0.0
адъютантам,3,1278514514,4638842847,0,0.0
адъютантами,9,12785145143,46388428478,0,0.0
адъютантика,2,12785145331,46388428814,0,0.0
адъютантов,25,1278514541,4638842854,0,0.0
адъютантом,22,1278514544,4638842857,0,0.0
адъютантском,2,127851455344,463884287157,0,0.0
адъютанту,15,127851455,463884281,0,0.0
адъютанты,23,127851457,463884284,0,0.0
аж,18,12,46,0,0.0
аз,2,12,43,0,0.0
аза,2,121,434,2,1.0
азан,3,1214,4342,0,0.0
азаров,2,121541,434554,0,0.0
азарта,4,121551,434584,0,0.0
азартно,3,1215544,4345825,0,0.0
азартом,4,1215544,4345857,0,0.0
азбука,5,121531,438114,4,0.8
азбуке,5,121532,438112,2,0.4
азбуку,3,121535,438111,0,0.0
азербайджан,2,12251132214,43258416642,0,0.0
азербайджана,3,122511322141,432584166424,3,1.0
азиатская,2,123155318,438487147,0,0.0
азиатский,2,123155333,438487181,0,0.0
азии,15,1233,4388,15,1.0
азимов,19,123441,438754,11,0.5789473684210527
азимова,15,1234411,4387544,11,0.7333333333333333
азимовым,2,12344174,43875447,2,1.0
азию,2,1238,4388,2,1.0
азовского,2,124153414,435471525,2,1.0
азог,2,1241,4352,0,0.0
азор,2,1245,4355,2,1.0
азот,9,1245,4358,0,0.0
азота,7,12451,43584,0,0.0
азотной,2,1245443,4358251,0,0.0
азраил,4,125133,435486,2,0.5
азы,3,127,434,0,0.0
ай,30,13,41,12,0.4
айбак,7,13113,41841,7,1.0
айбака,5,131131,418414,5,1.0
айваз,3,13112,41443,3,1.0
айда,6,1321,4164,2,0.3333333333333333
айдийхим,2,13233634,41681387,0,0.0
айзек,44,13223,41321,40,0.9090909090909091
айзека,4,132231,413214,4,1.0
айзеком,5,1322344,4132157,5,1.0
айнзатцгруппа,2,1342156155441,4123481251554,0,0.0
айронсмит,2,135445435,415527788,1,0.5
айшат,21,13715,41348,20,0.9523809523809523
ак,4,13,41,0,0.0
ака,4,131,414,0,0.0
акад,3,1312,4146,0,0.0
академией,2,131224323,414627821,2,1.0
академии,21,13122433,41462788,14,0.6666666666666666
академик,17,13122433,41462781,0,0.0
академика,9,131224331,414627814,0,0.0
академиками,3,13122433143,41462781478,0,0.0
академики,3,131224333,414627818,1,0.3333333333333333
